color,compound,lap_number,wear_pattern,sidewall_deformation,tyre_pressure,is_graining,tyre_temperature,track_temperature,strategy,expected_life,lap_percentage,temp_differential,is_pressure_optimal,is_temp_optimal,wear_severity,risk_score
red,soft,7,inner,False,18.7,True,56,43,CONSERVE,22,0.3181818181818182,13,False,False,2,62.72727272727273
white,hard,3,even,False,20.0,True,49,41,CONSERVE,45,0.06666666666666667,8,True,False,0,22.666666666666668
yellow,medium,25,even,False,19.8,True,34,25,CONSERVE,32,0.78125,9,True,False,0,51.25
red,soft,9,even,True,19.5,True,34,27,PIT_NOW,22,0.4090909090909091,7,True,False,0,86.36363636363636
yellow,medium,9,even,False,19.1,True,33,26,CONSERVE,32,0.28125,7,True,False,0,31.25
red,soft,13,even,False,21.9,True,34,24,MONITOR,22,0.5909090909090909,10,False,False,0,53.63636363636364
yellow,medium,6,even,False,19.3,False,22,16,MONITOR,32,0.1875,6,True,False,0,12.5
white,hard,2,inner,False,19.3,False,46,42,CONSERVE,45,0.044444444444444446,4,True,False,2,26.77777777777778
red,soft,10,inner,False,22.1,True,41,24,CONSERVE,22,0.45454545454545453,17,False,False,2,68.18181818181819
red,soft,12,even,False,19.0,True,45,43,CONSERVE,22,0.5454545454545454,2,True,False,0,41.81818181818181
red,soft,8,even,False,20.0,True,37,26,CONSERVE,22,0.36363636363636365,11,True,False,0,34.54545454545455
red,soft,3,center,False,19.8,True,45,40,CONSERVE,22,0.13636363636363635,5,True,False,3,55.45454545454545
yellow,medium,27,outer,False,19.2,False,62,40,PIT_SOON,32,0.84375,22,True,False,2,58.75
red,soft,2,even,False,19.0,True,31,27,CONSERVE,22,0.09090909090909091,4,True,False,0,23.636363636363637
white,hard,14,outer,False,18.5,True,53,38,MONITOR,45,0.3111111111111111,15,False,False,2,62.44444444444444
white,hard,30,even,False,19.8,True,52,39,MONITOR,45,0.6666666666666666,13,True,False,0,46.666666666666664
red,soft,9,even,False,19.9,True,21,20,CONSERVE,22,0.4090909090909091,1,True,False,0,36.36363636363636
blue,wet,5,even,False,18.2,True,29,23,CONSERVE,10,0.5,6,False,False,0,50.0
yellow,medium,3,outer,False,21.4,True,32,27,CONSERVE,32,0.09375,5,True,False,2,43.75
blue,wet,8,outer,False,19.5,False,38,22,PIT_SOON,10,0.8,16,True,False,2,57.0
yellow,medium,27,outer,False,21.3,True,35,27,PIT_SOON,32,0.84375,8,True,False,2,73.75
